"","species","n"
"1","Acis trichophylla",4
"2","Anagallis arvensis",1
"3","Andryala integrifolia",11
"4","Anemone palmata",22
"5","Anthemis arvensis",6
"6","Aristolochia baetica",10
"7","Aristolochia paucinervis",4
"8","Arum italicum",1
"9","Bellardia trixiajo",1
"10","Bituminaria bituminosa",4
"11","Calycium",1
"12","Campanula matritensis",1
"13","Carduus bourgeanus",1
"14","Carduus sp.",2
"15","Centaurea calcitrapa",3
"16","Centaurea sp.",1
"17","Cerinthe major",1
"18","Chrysantenum sesetum",3
"19","Cistus albidus",11
"20","Cistus crispus",8
"21","Cistus ladanifer",2
"22","Cistus libanotis",3
"23","Cistus monspeliensis",2
"24","Cistus salvifolius",114
"25","Convolvulus althaeoides",8
"26","Crepis sp.",5
"27","Cynoglossum creticum",1
"28","Daphne gnidium",1
"29","Dipcadi serotium",2
"30","Dipcadi sp.",1
"31","Echium plantagineum",9
"32","Echium sp.",4
"33","Erodium",1
"34","Erodium cicutarium",4
"35","Erodium sp.",9
"36","Galactites tomentosa",9
"37","Genista hirsuta",5
"38","Geranium rotundifolium",2
"39","Gladius illyricus",1
"40","Halimium calycinum",9
"41","Halimium halimifolium",12
"42","Lathyrus ochrus",1
"43","Lavandula stoechas",12
"44","Leontodon longirostris",7
"45","Leontodon sp.",23
"46","Leopoldia comosa",1
"47","Linaria spartea",10
"48","Linum sp.",2
"49","Lupinus angustifolius",2
"50","Lysimachia arvensis",2
"51","Malcolmia lacera",11
"52","Misopates orontium",2
"53","Muscari",2
"54","Muscari romoani",1
"55","Ornithogalum umbellatum",1
"56","Oxalis pes-caprae",4
"57","Parentucellia viscosa",1
"58","Ranunculus sp.",2
"59","Raphanus raphanistrum",1
"60","Reseda phyteuma",7
"61","Rosmarinus officinalis",10
"62","Senecio pequeño",5
"63","Senecio sp.",1
"64","Serapias lingua",1
"65","Silene colorata",20
"66","Sonchus oleraceus",2
"67","Stellaria media",1
"68","Thapsia villosa",1
"69","Tolpis barbata",3
"70","Ulex sp.",2
"71","Vicia sp.",1
"72","Xolantha guttata",6
"73","Xolantha tuberaria",44
"74","na",1
