code,site_id,pantrap,species,abundance
1,ANZ_1,1,Oxalis pes-caprae,3
2,ANZ_1,1,Cistus salvifolius,16
3,ANZ_1,1,Ornithogalum umbellatum,4
4,ANZ_1,2,Cistus salvifolius,2
5,ANZ_1,2,Aristolochia baetica,3
6,ANZ_1,2,Geranium rotundifolium,4
7,ANZ_1,2,Aristolochia paucinervis,1
8,ANZ_1,3,Cistus salvifolius,3
9,ANZ_1,3,Reseda phyteuma,1
10,ANZ_1,4,Oxalis pes-caprae,8
11,ANZ_1,5,Cistus salvifolius,2
12,ANZ_1,5,Aristolochia baetica,2
13,ANZ_1,5,Aristolochia paucinervis,1
14,ANZ_1,5,Ranunculus sp.,1
15,ANZ_1,5,Anemone palmata,2
16,ANZ_1,6,Cistus salvifolius,3
17,ANZ_1,7,Cistus salvifolius,12
18,ANZ_1,8,Cistus salvifolius,2
19,ANZ_1,8,Geranium rotundifolium,6
20,ANZ_1,9,Cistus salvifolius,6
21,ANZ_1,9,Cistus crispus,3
22,HIN_1,1,Anemone palmata,3
23,HIN_1,2,Cistus albidus,2
24,HIN_1,2,Erodium cicutarium,1
25,HIN_1,3,Anemone palmata,2
26,HIN_1,4,Anemone palmata,2
27,HIN_1,4,Lavandula stoechas,29
28,HIN_1,5,Cistus salvifolius,3
29,HIN_1,7,Anemone palmata,1
30,HIN_1,7,Lavandula stoechas,17
31,HIN_1,7,Ulex sp.,1
32,HIN_1,8,Anemone palmata,2
33,HIN_1,8,Cistus salvifolius,3
34,HIN_1,9,Anemone palmata,1
35,VILL_1,1,Cistus salvifolius,2
36,VILL_1,2,Reseda phyteuma,16
37,VILL_1,2,Anagallis arvensis,5
38,VILL_1,3,Ulex sp.,2
39,VILL_1,4,Cistus salvifolius,3
40,VILL_1,4,Cistus ladanifer,2
41,VILL_1,5,Cistus salvifolius,1
42,VILL_1,6,na,0
43,VILL_1,7,Cistus salvifolius,4
44,VILL_1,8,Cistus salvifolius,2
45,VILL_1,8,Ranunculus sp.,2
46,VILL_1,8,Rosmarinus officinalis,16
47,VILL_1,9,Cistus salvifolius,1
48,VILL_1,9,Cistus crispus,1
49,BON_1,7,Lavandula stoechas,3
50,BON_1,2,Crepis sp.,2
51,BON_1,7,Crepis sp.,4
52,BON_1,2,Cistus salvifolius,1
53,BON_1,3,Cistus salvifolius,4
54,BON_1,4,Cistus salvifolius,1
55,BON_1,7,Cistus salvifolius,1
56,BON_1,9,Cistus salvifolius,7
57,BON_1,4,Xolantha tuberaria,18
