"Alnusacuminata"	"Anonaceaesp."	"Arbutusxalapensis"	"Buddleiacordata"	"Buddleianitida"	"Calyptranthespallens"	"Clethramacrophylla"	"Clethraoleoides"	"Clethrasuaveolens"	"Cleyeratheaeoides"	"Clusiarosea"	"Cornusdisciflora"	"Cornusexcelsa"	"Cupaniadentata"	"Cupressuslusitanica"	"Cyatheafulva"	"Daphnopsisselerolum"	"Dendropanaxarboreus"	"Deppeagrandiflora"	"Drimysgranadensis"	"Erythrinachiapasana"	"Eugeniacapuli"	"Eugeniacapulioides"	"Eupatoriumligustrinum"	"Eupatoriumnubigenum"	"Garryalaurifolia"	"Holodiscusargenteus"	"Ingasp."	"Juniperusgamboana"	"Lippiasubstrigosa"	"Liquidambarstyraciflua"	"Litseaglaucescens"	"Magnoliasharpii"	"Meliosmadives"	"Miconiaglaberrima"	"Microtropiscontracta"	"Myricacerifera"	"Myrtaceaesp1."	"Nyssasilvatica"	"Ocoteaeffusa"	"Ocoteahelicterifolia"	"Olmediellabetschleriana"	"Oreopanaxxalapensis"	"Ostryavirginiana"	"Parathesisbelizensis"	"Perseaamericana"	"Pinusayacahuite"	"Pinusmontezumae"	"Pinusoocarpa"	"Pinuspseudostrobus"	"Pinustecunumani"	"Prunuslundelliana"	"Prunusrhamnoides"	"Prunusserotina"	"Quercusacatenangensis"	"Quercuscandicans"	"Quercuscrassifolia"	"Quercuscrispipilis"	"Quercuslaurina"	"Quercuspeduncularis"	"Quercuspolymorpha"	"Quercusrugosa"	"Quercussapotaefolia"	"Quercussegoviensis"	"Quercusskutchii"	"Rapaneajuergensenii"	"Rapaneamyricoides"	"Rhamnussharpii"	"Rondeletiastenosiphon"	"Saurauialatipetala"	"Saurauiascabrida"	"Sebastianiacruenta"	"Solanumnudum"	"Styraxargenteus"	"Symplococarponpurpusii"	"Symplocoslimoncillo"	"Tecomastans"	"Ternstroemialineata"	"Ternstroemiaoocarpa"	"Verbesinaperymenioides"	"Vernonialeiocarpa"	"Vernoniascorpioides"	"Viburnumaff.lautum"	"Viburnumjucundum"	"Weinmanniapinnata"	"Zanthoxylummelanostictum"
"Bazom1"	0	0	0	0	0	0	25	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	15	0	0	5	0	0	0	0	0	2	5	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	4	0	0	0	2	0	0	0	0	0	0	0	5
"Bazom2"	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	37	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom3"	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	2	0	0	0	2	0	0	0	5	5	0	2	1	71	0	2	0	19	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom4"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	1	30	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"Bazom5"	3	0	0	0	0	0	0	0	0	3	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	32	0	0	1	0	0	9	0	30	0	0	0	0	0	0	26	0	0	0	0	0	0	0	1	0	0	0	10	0	2	0	0	0	0	0	0
"Bazom6"	0	0	0	0	0	0	0	0	0	19	0	9	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	2	0	0	26	0	0	0	0	0	0	0	2	0	0	3	0	13	0	0	0	0	0	0	48	0	2	0	0	0	0	0	0	0	0	0	25	0	6	0	0	0	0	0	2
"Bazom7"	0	0	0	0	0	0	11	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	1	2	0	0	15	0	0	0	0	0	0	5	0	0	0	0	0	7	0	0	0	0	0	0	11	0	0	0	0	0	0	0	3	0	0	0	8	0	0	0	0	0	0	0	0
"Bazom8"	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	14	0	2	1	40	0	1	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	0	0	0	0	0	0	0	0
"Bazom9"	0	0	0	0	0	0	0	0	0	2	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	4	0	0	0	0	0	0	0	0	4	0	1	0	0	5	0	0	0	0	0	14	2	10	0	0	3	0	0	0	66	0	8	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0
"Bazom10"	0	0	0	0	0	0	0	0	0	2	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	1	1	0	4	3	0	0	6	0	22	0	0	1	0	0	0	30	0	11	0	0	0	0	0	0	0	0	0	13	0	4	0	0	0	0	0	0
