"Alien"	"Mean.Temperature"	"Mean.Jan.Temperature"	"Rango.de.temperatura"	"PET"	"Min.pET"	"Max.pET"	"Insolation"	"Growth.Season"	"AET"	"Water.Defcit"	"Precipitation"	"Rainfall"
23	6.855	3.27	4.8375	517.6941579	8.441626909	89.86879902	2.7925	282.3	459.2563888	58.43776904	1391.945	1391.945
32	7.3875	3.46	6.0025	599.5837365	13.89104563	101.7756352	2.804375	290.91	484.0047683	115.5789681	1604.58	1604.58
25	5.2975	2.2875	3.975	591.5789622	12.98210948	101.5328325	3.035833333	205.125	433.5330596	158.0459026	854.5575	854.5575
46	7.7075	3.3075	6.4575	607.3948158	12.69516797	105.412959	3.283333333	274.72	458.6045167	148.7902991	959.4475	959.4475
35	7.39	2.9075	6.5275	601.3189459	11.81978279	105.47598	3.195208334	263.37	450.9131768	150.405769	957.815	957.815
89	7.3625	2.8325	6.7175	601.0316852	11.54550821	105.5530889	3.153958333	255.89	446.2229528	154.8087324	918.2775	918.2775
38	7.3725	2.765	6.79	602.3535477	11.29007998	105.6476498	3.120416667	250.95	443.0322402	159.3213075	880.3825	880.3825
46	7.53	3.2175	5.9	603.2865686	12.66272667	103.4353762	3.360833334	257.21	441.6403077	161.6462609	835.14	835.14
40	7.115	3.065	5.815	593.8930909	13.04518446	100.8710132	2.713125	277.6	468.4957192	125.3973717	1372.7425	1372.7425
4	5.8	1.7225	5.8775	565.3548593	9.918529614	100.0707032	2.473958333	230.52	446.0584006	119.2964587	2082.0125	2082.0125
8	7.0875	2.725	6.775	594.8537079	11.74122146	104.1137299	2.771666667	263.95	474.89912	119.9545879	1629.595	1629.595
40	7.1625	2.5975	6.7775	597.550915	11.03310433	105.3282914	2.84375	265.88	473.442891	124.108024	1451.565	1451.565
12	7.1725	2.5925	6.7725	597.1566939	11.03982476	105.50678	2.895833334	264.14	462.3372814	134.8194125	1197.5425	1197.5425
8	7.2775	2.555	7.1125	600.1745153	10.69155887	106.5584175	2.890833333	263.57	454.57577	145.5987453	1033.8	1033.8
21	7.1275	2.345	7.25	597.0429583	10.12031805	106.5056231	2.891875	254.9	452.1376498	144.9053084	1044.12	1044.12
10	6.865	2.1425	7.1725	590.5753052	9.78239441	105.949633	2.939166667	244.45	444.4758867	146.0994185	1027.425	1027.425
18	7.11	2.3625	7.475	596.7047403	10.21424076	106.7386106	3.022916667	247.79	451.6253365	145.0794038	1039.83	1039.83
34	7.215	2.46	7.46	599.1632811	10.42356044	106.7847181	3.0325	246.36	445.7738905	153.3893905	943.08	943.08
41	7.3275	2.5975	7.295	601.839931	10.74167535	106.6091541	3.045	246.35	441.8717336	159.9681974	877.9	877.9
39	5.69	2.4025	4.6025	604.7456102	12.51482447	104.5041061	3.270833333	194.5125	405.7608066	198.9848036	630.17	630.17
34	3.87	1.8725	2.6475	605.3185757	14.29963178	100.7959937	2.867083334	145.865	407.4478489	197.8707268	628.5225	628.5225
2	7.035	2.6875	6.065	591.8045857	8.672867467	102.3477802	2.592291667	263.4	473.6714645	118.1331213	1781.24	1781.24
6	5.6925	1.31	6.0775	559.0661399	5.626310416	101.6400042	2.415416667	219.33	440.3612181	118.7049219	2220.8925	2220.8925
5	6.28	1.72	6.7425	576.9079239	9.009289121	103.782857	2.600833333	233.79	460.2415085	116.6664155	2137.25	2137.25
4	6.0175	1.46	6.495	570.2580135	8.241393043	103.245041	2.673125	224.43	444.1084568	126.1495568	1499.525	1499.525
14	6.9825	2.215	7.22	593.6341201	9.870365797	106.2234277	2.867916667	252.27	456.1749441	137.459176	1160.5875	1160.5875
12	6.68	1.905	7.0925	585.4950555	9.147806694	105.7993283	2.874791667	240.81	440.2086952	145.2863604	1041.725	1041.725
20	6.56	1.7325	7.235	583.1952794	8.573935696	105.9103842	2.920416667	231.98	442.6303518	140.5649276	1109.845	1109.845
7	6.66	1.7725	7.48	585.5537754	8.580893958	106.8516294	2.958541667	231.65	442.1824375	143.3713379	1067.5925	1067.5925
23	6.8475	2.01	7.465	590.3702612	9.258518707	106.6937961	3.000208334	236.12	445.4355901	144.9346711	1040.81	1040.81
13	6.945	2.1525	7.3	592.5259687	9.705369116	106.2672827	2.992708333	237.65	445.2190678	147.3069008	1010.5	1010.5
14	6.85	2.24	6.66	589.9303719	10.23104928	104.9481122	3.004583333	237.22	439.2833196	150.6470523	960.68	960.68
28	5.57	2.37	4.27	592.653716	0	104.3507565	3.300833334	193.1625	415.8543159	176.7994	663.55	663.55
46	5.905	2.6175	4.455	610.5816679	13.15536344	103.3920445	2.759444444	215.13	472.0595053	138.5221626	1063.33	1063.33
25	6.6275	2.11	6.075	582.7744726	8.924425466	102.362323	2.492083333	244.97	464.8884272	117.8860454	1916.73	1916.73
7	6.52	1.7525	6.7725	582.1795436	8.792614462	104.2709036	2.545625	238.04	468.2202401	113.9593034	2391.2925	2391.2925
1	5.6975	1.0075	6.465	560.6892516	2.897821244	103.486076	2.54125	212.49	442.9876092	117.7016424	2164.5775	2164.5775
16	6.6925	1.745	7.3525	586.3420484	7.839842455	106.8116958	2.789375	238.19	459.3051209	127.0369275	1446.4075	1446.4075
9	6.72	1.7725	7.3625	587.1472421	0.481106104	106.823826	2.882916667	234.23	456.8687309	130.2785112	1320.1025	1320.1025
19	6.88	1.8825	7.5425	590.5904413	8.034852999	107.5678473	3.018125	237.73	449.2487076	141.3417336	1099.48	1099.48
21	6.6875	1.69	7.4	586.126219	8.237767124	106.8347238	3.057291667	229.32	437.3325368	148.7936822	985.9475	985.9475
11	5.5575	0.7525	6.7875	555.3836116	2.950131977	104.4596931	2.8675	195.22	421.8890079	133.4946037	1188.94	1188.94
16	6.335	1.4675	7.31	577.2565109	7.058342493	106.3133181	2.949166667	218.85	438.2866665	138.9698444	1131.755	1131.755
57	6.875	2.1775	6.7625	590.2147559	9.260741088	105.5831784	3.109166667	239.82	442.6726915	147.5420643	988.8575	958.8575
53	3.5275	1.33	2.9825	585.1359195	12.26382951	104.4640963	3.235416667	124.005	340.0441872	245.0917323	436.2475	406.2475
28	7.33	2.78	5.75	598.8410678	10.49193134	103.193593	2.606458333	266.45	478.5969136	120.2441542	1548.48	1518.48
29	6.195	1.565	5.87	573.2106531	9.012225129	102.0301555	2.44	227.84	456.1183337	117.0923193	2072.85	2042.85
2	5.72	0.9625	6.26	560.6602332	4.770830845	103.2092816	2.482916667	210.74	447.4864625	113.1737706	2891.895	2861.895
5	6.67	1.6075	7.2225	585.9577933	7.975538498	106.6012097	2.7625	236.97	465.7581303	120.199663	1732.77	1702.77
7	5.55	0.6075	6.425	554.2991908	0	103.9088384	2.666041667	197.21	421.8204757	132.4787151	1206.7625	1176.7625
1	5.33	0.4	6.6225	546.2046785	0	104.4085463	2.693125	188.11	421.417018	124.7876605	1376.1575	1346.1575
3	6.13	1.1225	7.295	571.6399099	6.16326389	106.4853638	2.919375	212.05	440.1946733	131.4452366	1283.9975	1253.9975
25	6.565	1.46	7.5825	582.5182286	6.791194097	107.654157	3.057708333	222.3	440.9872116	141.531017	1086.885	1056.885
30	6.1225	1.07	7.2525	570.7869096	3.546429735	106.4766876	2.993541667	211.35	427.5669536	143.2199559	1037.3625	1007.3625
16	5.8125	1.1175	6.31	563.5899171	0	104.1402748	3.005	208.05	426.5438062	137.0461109	1121.11	1091.11
21	6.2975	3.015	3.9975	621.1124852	14.3805695	104.0530093	2.973611111	224.2125	477.6939249	143.4185603	981.035	951.035
6	7.04	2.455	5.5475	592.0204963	9.569384062	102.9326003	2.599583333	252.38	473.0841645	118.9363318	1664.61	1634.61
