"Forest type"	"Productivity"	"Elevation"
"CF"	0.642	2482
"PF"	0.621	2353
"POF"	0.899	2398
"PF"	0.584	2409
"POF"	0.655	2461
"CF"	0.616	2451
"CF"	0.666	2480
"POF"	0.922	2391
"CF"	0.906	2452
"CF"	0.835	2460
"CF"	0.806	2462
"POF"	0.807	2460
"POF"	0.873	2461
"POF"	0.738	2461
"CF"	0.661	2437
"CF"	0.861	2443
"POF"	0.721	2431
"CF"	0.83	2458
"CF"	0.778	2461
"POF"	0.869	2443
"POF"	0.344	2420
"PF"	0.279	2354
"CF"	0.62	2427
"PF"	0.612	2353
"POF"	0.892	2445
"POF"	0.929	2436
"POF"	0.844	2462
"POF"	0.82	2451
"PF"	0.867	2458
"PF"	0.876	2462
"PF"	0.837	2481
"PF"	0.854	2481
"POF"	0.871	2500
"POF"	0.862	2489
"POF"	0.847	2489
"POF"	0.917	2502
"OF"	0.764	2369
"OF"	0.745	2528
"OF"	0.854	2515
"OF"	0.646	2277
"OF"	0.93	2485
"OF"	0.869	2379
"OF"	0.864	2318
"OF"	0.761	2411
"OF"	0.845	2277
"CF"	0.844	2644
"OF"	0.801	2358
"OF"	0.733	2350
"OF"	0.87	2340
"OF"	0.849	2377
"OF"	0.874	2380
"CF"	0.889	2563
"CF"	0.932	2724
"CF"	0.903	2714
"CF"	0.941	2680
"CF"	0.956	2657
"CF"	0.877	2724
"CF"	0.848	2741
"CF"	0.703	2786
"CF"	0.861	2737
"CF"	0.909	2750
"CF"	0.555	2780
"CF"	0.844	2681
"CF"	0.914	2707
"POF"	0.747	2322
"PF"	0.736	2328
"POF"	0.505	2313
"POF"	0.542	2307
"POF"	0.816	2332
"POF"	0.627	2327
"POF"	0.647	2357
"POF"	0.445	2348
"POF"	0.473	2318
"POF"	0.519	2319
"POF"	0.548	2514
"POF"	0.788	2501
"POF"	0.806	2508
"POF"	0.845	2539
"POF"	0.802	2487
"POF"	0.904	2508
"POF"	0.735	2526
"POF"	0.769	2521
"POF"	0.813	2516
"POF"	0.568	2480
"POF"	0.596	2431
"POF"	0.616	2461
"POF"	0.844	2519
"POF"	0.767	2494
"POF"	0.7	2476
"POF"	0.574	2498
"POF"	0.684	2499
"POF"	0.75	2489
"POF"	0.671	2479
"POF"	0.666	2443
"POF"	0.628	2358
"POF"	0.648	2400
"POF"	0.574	2379
"POF"	0.582	2334
"POF"	0.597	2360
"POF"	0.685	2320
"POF"	0.639	2300
"POF"	0.595	2305
"POF"	0.624	2339
"CF"	0.605	2340
"CF"	0.9	2550
"CF"	0.886	2535
"CF"	0.931	2563
"CF"	0.929	2584
"CF"	0.886	2535
"CF"	0.878	2581
"CF"	0.91	2621
"CF"	0.94	2558
"CF"	0.906	2655
"CF"	0.894	2671
"CF"	0.833	1899
"CF"	0.804	1920
"CF"	0.752	1916
"CF"	0.844	1898
"CF"	0.886	1885
"CF"	0.797	1954
"CF"	0.877	1978
"CF"	0.853	1952
"CF"	0.72	1976
"CF"	0.855	1966
"CF"	0.937	2006
"CF"	0.959	2020
"CF"	0.973	2026
"CF"	0.909	1998
"CF"	0.942	1963
"CF"	0.932	1985
"CF"	0.926	1955
"CF"	0.964	1969
"CF"	0.944	1980
"CF"	0.914	1974
"POF"	0.635	2370
"POF"	0.688	2341
"PF"	0.531	2308
"PF"	0.524	2347
"POF"	0.676	2399
"POF"	0.65	2433
"POF"	0.427	2400
"POF"	0.579	2421
"POF"	0.704	2418
"POF"	0.63	2384
"POF"	0.687	1871
"POF"	0.801	1809
"CF"	0.703	1778
"CF"	0.863	1865
"CF"	0.884	1909
"CF"	0.823	1912
"POF"	0.569	2138
"OF"	0.818	1853
"POF"	0.825	1923
"OF"	0.867	1843
"OF"	0.728	2175
"POF"	0.632	2160
"POF"	0.847	2184
"POF"	0.826	2192
"POF"	0.846	2198
"POF"	0.485	2194
"PF"	0.756	2224
"POF"	0.824	2176
"POF"	0.728	2170
"POF"	0.851	2194
"POF"	0.658	2162
"OF"	0.668	2204
"OF"	0.703	2197
"POF"	0.689	2260
"OF"	0.669	2200
"POF"	0.652	2234
"OF"	0.691	2268
"POF"	0.59	2160
"POF"	0.49	2139
"OF"	0.52	2216
"CF"	0.656	1732
"POF"	0.499	1772
"POF"	0.531	1777
"OF"	0.503	1777
"OF"	0.657	1917
"POF"	0.741	1862
"OF"	0.648	1866
"POF"	0.595	1889
"OF"	0.848	1780
"POF"	0.61	1747
"OF"	0.546	2231
"OF"	0.631	2274
"OF"	0.571	2160
"OF"	0.674	2197
"OF"	0.653	2277
"OF"	0.67	2277
"OF"	0.621	2301
"POF"	0.589	2041
"POF"	0.653	2083
"POF"	0.615	2196
"TF"	0.5	1753
"TF"	0.555	1679
"TF"	0.556	1692
"TF"	0.557	1760
"TF"	0.589	1716
"TF"	0.529	1440
"TF"	0.576	1498
"TF"	0.616	1661
"TF"	0.609	1611
"TF"	0.576	1568
