"Site" "peak_colony" "Prop_imp100" "Prop_flow100" "Prop_domesticinfrastructure100" "Prop_open100" "Prop_tree100" "Prop_ag100" "Prop_gard100" "Prop_road100" "Prop_imp250" "Prop_flow250" "Prop_domesticinfrastructure250" "Prop_open250" "Prop_tree250" "Prop_ag250" "Prop_gard250" "Prop_road250" "Prop_imp500" "Prop_flow500" "Prop_domesticinfrastructure500" "Prop_open500" "Prop_tree500" "Prop_ag500" "Prop_gard500" "Prop_road500" "Prop_imp750" "Prop_flow750" "Prop_domesticinfrastructure750" "Prop_open750" "Prop_tree750" "Prop_ag750" "Prop_gard750" "Prop_road750"
"MY" 2822 0 0.59318521 0 0.59318521 0.40681479 0.59318521 0 0.00016581 0 0.490363803 0 0.595358435 0.404641565 0.595358435 0 0 0.00641708 0.423016592 0.008224475 0.837742382 0.159846653 0.823843682 0.00200969 0.004006115 0.037436363 0.376835412 0.042114619 0.876471351 0.112051151 0.82932326 0.007189833 0.025958866
"AD" 4 0.430403998 0.326364015 0.852561433 0.654727197 0.147438567 0 0.326364015 0.001915868 0.438887852 0.260389732 0.843974089 0.649761416 0.156025911 0 0.258310452 0.244675179 0.398159194 0.23753524 0.774511307 0.61455716 0.200615823 0 0.231333684 0.213135568 0.427677324 0.24789364 0.773474305 0.605408335 0.199719498 0 0.219185832 0.231110887
"AI" 1 0.144278198 0 0.19656363 0.159322591 0.80343637 0 0 0.001150937 0.080041566 0.03542349 0.256882785 0.248608974 0.721952567 0 0.03542349 0.035594491 0.063510594 0.035578166 0.181777823 0.210407411 0.763570773 0 0.027320769 0.031516881 0.065304416 0.056847961 0.177421877 0.200620861 0.76845593 0 0.050209658 0.029846056
"AN" 1 0.718744784 0.210983141 0.929727925 0.445501586 0.070272075 0 0.210983141 0.001001502 0.678567569 0.187203141 0.879010298 0.483128539 0.120989702 0 0.187203141 0.282685809 0.653031042 0.169700268 0.848094039 0.464408047 0.151905961 0 0.151415198 0.269345049 0.595020157 0.157274129 0.829466865 0.506535283 0.167221351 0 0.111557562 0.268376172
"BA" 1 0.654649115 0.250440178 0.884715352 0.462144714 0.115284648 0 0.230066236 0.001006121 0.665982452 0.268440259 0.921154311 0.503179586 0.077960235 0 0.255171859 0.24556602 0.640848566 0.155381519 0.835894684 0.483199732 0.160224719 0 0.151450612 0.271735704 0.651497602 0.149457619 0.855677741 0.502421594 0.141442283 0 0.146690935 0.286192365
"BL" 1 0.739337682 0.074510788 0.846462619 0.515052684 0.153537381 0 0.061548754 0.002007025 0.658433791 0.090378775 0.786944247 0.49015935 0.213055753 0 0.073493799 0.35106568 0.656467739 0.087672644 0.770305031 0.473107813 0.218659789 0 0.0431138 0.321826508 0.635390172 0.06389764 0.753392117 0.518773037 0.181200487 0 0.025606357 0.260696957
"BS" 54 0.059070687 0.183473389 0.239907728 0.495468776 0.485829626 0.274262646 0.183473389 0.001565332 0.086606284 0.066157761 0.236878535 0.637173859 0.337459953 0.420902055 0.059447059 0.036678137 0.053049121 0.06880194 0.168137363 0.69230144 0.289699055 0.538125398 0.056280969 0.027200843 0.0482482 0.056971349 0.138650563 0.644223847 0.338315369 0.52032094 0.046527326 0.025401718
"BG" 3 0.633461474 0.230569948 0.904562928 0.619839545 0.095437072 0 0.230569948 0.001838543 0.540082639 0.196608855 0.780765682 0.513579289 0.219234318 0 0.194068171 0.095623337 0.499959884 0.154633041 0.745980062 0.539276712 0.2046073 0 0.141545261 0.144751182 0.4659539 0.146566863 0.706841015 0.546839945 0.210947645 0 0.128295035 0.128121202
"BR" 3 0.616237393 0.241810453 0.860465116 0.575977328 0.139534884 0 0.241810453 0.002167208 0.517730686 0.241628102 0.760772442 0.508955363 0.239227558 0 0.238374031 0.265913607 0.46116042 0.330704907 0.812790488 0.586354634 0.187209512 0 0.251231971 0.226069097 0.431422902 0.32453074 0.803465716 0.617216847 0.164920818 0 0.234961228 0.208351918
"CA" 1 0.676416513 0.20282467 0.893197393 0.574962393 0.106802607 0 0.134046465 0.002339963 0.645121185 0.156424208 0.845353796 0.512827026 0.154646204 0 0.138951646 0.294600484 0.662241784 0.117566849 0.835377001 0.51981338 0.163363044 0 0.108132225 0.333687591 0.683652659 0.088320527 0.810330922 0.496161107 0.18126347 0 0.073817548 0.351374916
